compound	reaction	type	A2O_abundance	AO_abundance
C00080	R08754	NA	0.06918238993710692	0.08163265306122448
C00353	R08754	NA	0.06918238993710692	0.08163265306122448
C17439	R08754	NA	0.06918238993710692	0.08163265306122448
C00005	R08755	NA	0.06918238993710692	0.08163265306122448
C00006	R08755	NA	0.06918238993710692	0.08163265306122448
C00080	R08755	NA	0.06918238993710692	0.08163265306122448
C17439	R08755	NA	0.06918238993710692	0.08163265306122448
C17440	R08755	NA	0.06918238993710692	0.08163265306122448
C00005	R08756	NA	0.06918238993710692	0.08163265306122448
C00006	R08756	NA	0.06918238993710692	0.08163265306122448
C00080	R08756	NA	0.06918238993710692	0.08163265306122448
C05427	R08756	NA	0.06918238993710692	0.08163265306122448
C17440	R08756	NA	0.06918238993710692	0.08163265306122448
C00019	R08246	NA	0.24528301886792453	0.23469387755102042
C00021	R08246	NA	0.24528301886792453	0.23469387755102042
C16619	R08246	NA	0.24528301886792453	0.23469387755102042
C16620	R08246	NA	0.24528301886792453	0.23469387755102042
C00005	R08935	NA	0.006289308176100629	0.0
C00006	R08935	NA	0.006289308176100629	0.0
C00080	R08935	NA	0.006289308176100629	0.0
C03319	R08935	NA	0.006289308176100629	0.0
C11907	R08935	NA	0.006289308176100629	0.0
C00001	R08244	NA	1.251572327044025	1.2040816326530612
C00002	R08244	NA	1.251572327044025	1.2040816326530612
C00013	R08244	NA	1.251572327044025	1.2040816326530612
C00020	R08244	NA	1.251572327044025	1.2040816326530612
C00025	R08244	NA	1.251572327044025	1.2040816326530612
C00064	R08244	NA	1.251572327044025	1.2040816326530612
C16618	R08244	NA	1.251572327044025	1.2040816326530612
C16619	R08244	NA	1.251572327044025	1.2040816326530612
C00009	R08937	NA	0.05660377358490566	0.05102040816326531
C00169	R08937	NA	0.05660377358490566	0.05102040816326531
C03415	R08937	NA	0.05660377358490566	0.05102040816326531
C18048	R08937	NA	0.05660377358490566	0.05102040816326531
C00005	R07747	NA	0.2893081761006289	0.24489795918367346
C00006	R07747	NA	0.2893081761006289	0.24489795918367346
C00080	R07747	NA	0.2893081761006289	0.24489795918367346
C16226	R07747	NA	0.2893081761006289	0.24489795918367346
C16227	R07747	NA	0.2893081761006289	0.24489795918367346
