genome	A2O_PRE	A2O_A1	A2O_A2	A2O_O	AO_A	AO_O
AO.76	652.1355	609.5439233	637.59788	657.1269533	1342.385767	1565.9396
A2O.149	2527.976033	2583.1894	2392.176867	2541.930633	1866.4843	1878.1736
A2O.141	395.0604733	409.0747367	404.5394633	415.76909	323.0542433	330.1538633
A2O.110	1754.778067	1842.954667	1834.169733	1849.625833	689.9090833	703.2372
A2O.19	589.795	615.6181	563.70753	629.0582633	222.76334	228.0190633
A2O.1	428.6684333	468.4288233	373.2219633	701.2081167	446.1721067	666.8927333
AO.77	192.8579067	200.74157	193.3938	211.77766	1469.759067	1508.6663
AO.72	299.0146933	314.3786267	296.3625133	318.18628	817.2975667	841.3921133
AO.69	933.4774	947.91422	970.8508167	964.1225667	761.0876467	771.85836
AO.61	1475.539767	1047.928117	1310.312	456.58452	2124.045533	2039.0608
AO.19	1470.612533	1443.526567	1406.996233	1328.5225	676.1352333	634.63772
A2O.50	851.8015667	910.5148533	898.3261167	915.6372067	487.2863533	495.8029467
A2O.10	423.7317667	438.5595333	429.89023	457.1656233	676.3041667	760.06555
A2O.29	10293.452	10826.71833	10926.846	11076.08267	11093.024	11748.97733
A2O.72	943.6898167	971.6532667	925.2268	953.5888667	747.0989867	778.6963833
A2O.78	1407.947667	1498.234667	1401.646867	1502.4401	679.2092667	681.5025867
A2O.132	4633.5095	5062.857333	4680.889067	5007.4343	3303.053167	3317.054367
A2O.68	980.9417333	1110.249447	944.40002	1194.348933	544.26755	588.7425433
AO.60	1533.911233	1477.729667	1495.645667	1479.201833	1204.779133	1262.39832
AO.51	381.5190667	386.12808	366.6009533	370.4844667	355.11851	335.6790467
AO.16	1283.484767	1373.610167	1313.150367	1345.5811	978.64795	997.9182833
A2O.138	955.2792133	1012.365547	930.4080533	959.7500667	1025.541267	1041.765967
A2O.148	6489.677333	7046.5038	6578.069467	7058.250667	5249.626433	5060.224
A2O.8	1282.875333	1353.440533	1304.851067	1391.820633	394.34968	408.1946867
A2O.104	1229.01657	1309.751567	1186.68005	1300.222367	1048.50318	1057.70122
A2O.150	2217.895167	2090.0558	2072.874833	1849.963067	1493.3181	1357.419267
A2O.46	1402.1131	1355.315133	1311.0885	1440.4273	1231.4594	1439.5736
AO.42	2541.7027	2774.366067	2533.9668	2750.506433	3804.4064	3806.128033
A2O.85	1954.232033	1996.604467	1934.3252	1636.651833	1782.605733	1868.1936
AO.15	1173.966967	1165.839617	1102.542463	1083.03652	1021.913767	1181.836183
A2O.103	491.0915067	504.6621033	497.4346767	453.73847	381.80997	384.86472
A2O.126	624.2148	640.9799333	615.2285333	647.3447167	647.4380833	695.2201833
A2O.48	726.8006667	730.67192	784.5244	704.9947	514.23649	548.1744167
A2O.70	894.9444333	959.3507667	917.8101667	970.77058	581.62914	582.7194667
A2O.40	222.10647	218.9856167	231.1086567	219.5934833	211.81897	219.7248933
A2O.143	3183.0913	3168.101133	3170.0432	3184.581733	503.7644133	462.28113
AO.81	700.0838	731.15757	659.2134667	717.8787333	638.6439167	648.5722133
A2O.16	792.5071867	771.9024	789.6806333	527.57545	673.2177867	706.2515167
AO.10	1526.770533	1561.892667	1453.228467	1631.687767	968.6203667	1070.145947
